Date/Time,Net,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,
 01/05  09:00:00,6.29371329,1.124952871,2.335065697,0,2.217522033,0,0.038479433,0.038479433,0.038479433,0.110631919,0.019876147,0.058654261,0.311572063,0.575209047,
 01/05  10:00:00,5.924999507,0.941271887,2.297804471,0,2.178993191,0,0.037810864,0.037810864,0.037810864,0.05654521,0.010158921,0.061620214,0.265173021,0.499433658,
 01/05  11:00:00,5.737504116,0.854968734,2.24713568,0,2.139735282,0,0.037129643,0.037129643,0.037129643,0.046711238,0.008392148,0.057762654,0.271409451,0.4230336,
 01/05  12:00:00,5.543899284,0.78940534,2.192594452,0,2.070399608,0,0.035926499,0.035926499,0.035926499,0.046711238,0.008392148,0.057124397,0.271492604,0.359228455,
 01/05  13:00:00,5.312856434,0.735089227,2.115406488,0,1.978737124,0,0.034335931,0.034335931,0.034335931,0.046711238,0.008392148,0.058593194,0.266919222,0.309607495,
 01/05  14:00:00,5.183001807,0.711837405,2.048805369,0,1.933695425,0,0.033554347,0.033554347,0.033554347,0.046711238,0.008392148,0.056748042,0.276149139,0.279752491,
 01/05  15:00:00,5.104832945,0.700241119,2.00702162,0,1.895277881,0,0.032887709,0.032887709,0.032887709,0.049169738,0.008833842,0.05392698,0.291698638,0.253194211,
 01/05  16:00:00,5.241881596,0.740373454,2.052296678,0,1.912810827,0,0.033191948,0.033191948,0.033191948,0.06146218,0.011042304,0.056406952,0.307913357,0.259826711,
 01/05  17:00:00,5.39614414,0.891749855,2.037545984,0,1.820227882,0,0.031585408,0.031585408,0.031585408,0.103256447,0.018551069,0.065849143,0.364207536,0.297770253,
 01/05  18:00:00,8.047907683,1.191096942,3.151547525,0,2.807552456,0,0.048717905,0.048717905,0.048717905,0.191761982,0.034451986,0.082889127,0.44245395,0.380291992,
 01/05  19:00:00,6.224057473,1.420950681,2.043967221,0,1.76687618,0,0.030659625,0.030659625,0.030659625,0.285184488,0.051236287,0.083492295,0.480371446,0.449476539,
 01/05  20:00:00,5.69464127,1.421505372,1.712381343,0,1.552579388,0,0.026941051,0.026941051,0.026941051,0.302393901,0.054328133,0.074792186,0.495837794,0.456682307,
 01/05  21:00:00,5.504489142,1.338200395,1.654701704,0,1.545499617,0,0.0268182,0.0268182,0.0268182,0.260599634,0.046819369,0.065329786,0.512884037,0.415219369,
 01/05  22:00:00,5.377446814,1.221081701,1.671258803,0,1.585072939,0,0.027504894,0.027504894,0.027504894,0.218805337,0.039310599,0.058492662,0.500910091,0.365528118,
 01/05  23:00:00,5.378537216,1.008541799,1.831072239,0,1.76876376,0,0.030692379,0.030692379,0.030692379,0.164718628,0.029593373,0.05029679,0.43347349,0.289237139,
 01/05  24:00:00,5.377305977,0.801569394,1.98464962,0,1.936597293,0,0.033604702,0.033604702,0.033604702,0.113090389,0.020317836,0.043586942,0.376680397,0.203759129,
 01/06  01:00:00,5.34805762,0.575655542,2.139636385,0,2.10344121,0,0.036499852,0.036499852,0.036499852,0.05900368,0.01060061,0.038648574,0.311572063,0.108800763,
 01/06  02:00:00,5.446179824,0.478034282,2.261417201,0,2.226918774,0,0.03864249,0.03864249,0.03864249,0.034418826,0.006183691,0.036403781,0.286875799,0.064979695,
 01/06  03:00:00,5.664290558,0.453097605,2.384185847,0,2.357320762,0,0.040905283,0.040905283,0.040905283,0.024584869,0.004416921,0.034419002,0.283549703,0.054691827,
 01/06  04:00:00,5.964062453,0.454486607,2.532002227,0,2.505411365,0,0.043475018,0.043475018,0.043475018,0.024584869,0.004416921,0.033177023,0.279558387,0.058744389,
 01/06  05:00:00,6.193705253,0.481431731,2.639110557,0,2.605840415,0,0.045217707,0.045217707,0.045217707,0.024584869,0.004416921,0.033669607,0.268998032,0.094014595,
 01/06  06:00:00,6.55098528,0.675569255,2.707289465,0,2.664493057,0,0.046235474,0.046235474,0.046235474,0.024584869,0.004416921,0.035745107,0.300180184,0.2538767,
